"","ABAFINU.KY.Equity","ALGOTRE.KY.Equity","APEXGCE.US.Equity","APHSIFA.LX.Equity","AROYIPA.US.Equity","ARTPAII.US.Equity","ASLNDMB.KY.Equity","BAOBABG.VI.Equity","BBHEDG1.US.Equity","BPCENHO.US.Equity","BWAGUSD.KY.Equity","CALYPSV.AV.Equity","CAMCAPR.KY.Equity","CARMOTT.KY.Equity","CASSIOA.KY.Equity","CAYENRG.US.Equity","CCLDMNA.CN.Equity","CCLMKNA.CN.Equity","CEDMNLP.US.Equity","CHCIMPE.KY.Equity","CHESSIC.US.Equity","CHROEHF.BM.Equity","CLASABE.LX.Equity","CLOVSTR.US.Equity","COEFFCA.KY.Equity","COLOMLP.US.Equity","CONCAPO.KY.Equity","CRJBJPY.KY.Equity","CURCMAF.CN.Equity","CUSHMKN.US.Equity","DACHCEQ.BH.Equity","DONEHF1.NA.Equity","EAMDSSP.KY.Equity","EMEVALU.BM.Equity","FAAREMG.KY.Equity","FIEMKNA.CN.Equity","GLGELNU.KY.Equity","GUEVORA.KY.Equity","HARSMCP.US.Equity","HERACPW.BM.Equity","HILCMNEA.CN.Equity","HSBCTGH.GR.Equity","INSGFIZ.PW.Equity","JADECPA.KY.Equity","KEYREOH.US.Equity","KLPAGEN.NO.Equity","LCIMNAU.KY.Equity","LMLSMOME.CN.Equity","LOGSTNE.US.Equity","MAGGFDI.US.Equity","MAQ8444.AU.Equity","MATAMNC.US.Equity","MNLUSDI.KY.Equity","MWJMA1U.ID.Equity","MWMGLFU.ID.Equity","MWTFNEE.ID.Equity","NORMNIA.CN.Equity","OAKPAMN.US.Equity","PACAPRV.KY.Equity","PAGORAE.KY.Equity","PCDAOAA.KY.Equity","PEGAEUR.VI.Equity","PHNXCPF.US.Equity","PMGLMKNE.CN.Equity","PMMNCLA.CN.Equity","PRYNCIP.MV.Equity","PXPVSCF.KY.Equity","QAAFFNU.KY.Equity","QQMEQHD.SS.Equity","QUANSPA.KY.Equity","QUPANEF.VI.Equity","QUQEQMN.US.Equity","RBRSVFC.KY.Equity","REALRTA.ID.Equity","RENIDEQ.US.Equity","ROMECAP.US.Equity","ROTACRO.US.Equity","SAEEALB.NA.Equity","SCOPQPL.US.Equity","SECHCAE.ID.Equity","SIA3FFU.VI.Equity","SQPTEUR.LX.Equity","SUPBLAE.KY.Equity","SVGRCMN.KY.Equity","TALACTE.KY.Equity","TALENHE.KY.Equity","TESSEQP.US.Equity","TKCAEAU.KY.Equity","TWOPPLD.VI.Equity","VICARCA.KY.Equity","WATSABR.AU.Equity","WGEMNBU.ID.Equity","WILIGEB.VI.Equity","WINCAPA.NA.Equity","WMF0001.AU.Equity","ZALUSMN.US.Equity","ZEBGLAU.US.Equity"
"1",0.5233,NA,2.36,4.587,NA,0.2599,5.9209,2.432,1.355,NA,NA,NA,4.61,NA,3.6045,3.78,NA,-0.0932,-0.32,1.8516,1.56,NA,5.0159,0.07,NA,2.33,-3.4039,NA,NA,2.02,NA,NA,NA,2.9654,NA,0.1043,1.5445,-0.5349,-1.65,NA,3.0008,0.9527,NA,13.5626,2.9998,-0.2725,NA,1.5656,0.3,0.32,NA,-1.3501,NA,0.1568,1.6266,2.9056,-2.8378,-1.94,-1.1859,-0.7618,NA,-0.8386,NA,0.4789,0.8869,NA,NA,NA,2.87,0.9408,4.1058,0.92,NA,2.423,NA,1.8498,0.98,1.0003,NA,1.3669,NA,0.8951,-0.7764,-0.5858,0.6307,1.2735,1.5399,NA,4.4114,0.4723,NA,NA,0.4826,NA,0.9698,-0.46,1.07
"2",0.9501,NA,-1.01,-3.7126,NA,0.1698,2.0858,5.1442,0.161,NA,NA,NA,-0.23,NA,1.9957,-1.17,NA,3.9218,1.2,1.3378,0.54,NA,2.4895,-0.57,NA,0.69,-1.32,NA,NA,1.06,NA,NA,NA,-1.1775,NA,1.01,0.9269,-0.0983,1.2,NA,0.9657,-0.0062,NA,1.6581,2.3,-3.5072,NA,2.0048,1.43,1.57,NA,2.18,NA,0.6386,1.9795,2.0691,1.838,3.35,-1.6108,1.9084,NA,-0.2851,NA,0.2276,0.0913,-0.2466,NA,NA,2.58,0.6219,0.9783,-0.2199,NA,0.7364,NA,-3.9401,1.78,-0.7861,NA,-1.1318,NA,3.991,0.2347,3.5152,0.9707,2.1354,-1.0299,NA,-2.3012,0.8131,NA,NA,0.3305,NA,0,-1.61,-0.07
"3",-0.531,NA,2.31,1.0668,NA,0.68,3.1318,-0.6735,0.4053,NA,NA,NA,-2.36,NA,2.8028,2.29,NA,1.266,1.33,3.2946,1.95,NA,4.4063,1.5737,NA,8.22,-2.7554,NA,NA,1.31,NA,1.3347,NA,101.0639,NA,0.0362,-0.4474,3.0866,2.46,NA,0.0149,0.705,NA,8.8326,-1.1,0.7326,NA,-0.6759,2.21,-0.34,NA,-0.5699,NA,-0.2603,0.5419,1.5737,-0.9122,3.2,-1.1997,1.1374,NA,0.6766,NA,-0.3448,0.5692,-0.1649,NA,NA,0.02,0.0608,2.3206,0.01,NA,1.7031,NA,-0.7998,0.3701,-0.5095,NA,0.6996,NA,2.1519,0.7026,-2.1583,0.1703,0.4298,1.9383,NA,-1.346,0.3274,13.6346,NA,0.1184,NA,6.5079,-1.01,-0.1899
"4",1.4845,NA,7.29,0.5412,NA,0.5399,0.7078,8.6399,0.689,NA,NA,NA,2.24,NA,-0.5544,0.28,NA,-0.0996,0.48,4.0961,0.79,NA,3.5845,1.1843,NA,1.69,-5.16,NA,NA,0.64,NA,0.7556,NA,-3.8801,NA,0.1754,-0.6387,2.7971,-0.15,NA,1.7188,1.4206,NA,-3.1593,2.2,2.2206,NA,-2.6448,0.58,-0.54,NA,-0.4201,NA,0.1386,3.3131,-0.3361,-2.8339,2.6,0.6051,0.0207,NA,0.4638,NA,-0.3084,-0.4131,-0.5546,NA,NA,-1.43,2.0393,2.9312,-1.1301,NA,2.1685,NA,-0.3998,0.21,2.0899,NA,-0.0561,NA,-0.7644,0.5426,NA,-1.0694,-2.1398,0.5502,NA,4.8004,0.9228,3.0841,NA,1.5579,NA,2.8803,-5.21,0.44
"5",3.3735,NA,1.58,7.1521,8.78,0.7602,4.9796,4.8414,1.5484,NA,NA,NA,2.67,NA,2.9572,0.18,NA,3.1847,1.52,8.9507,2.62,NA,2.4883,0.738,NA,2.65,-1.49,NA,NA,0.36,NA,3.03,NA,-16.5066,NA,0.7759,1.0713,2.703,1.44,NA,2.9579,2.1972,NA,9.3038,-1.4,-0.2221,NA,3.4953,1.7,0.66,NA,-0.3799,NA,1.4349,2.2101,2.1382,0.2014,5.14,-2.4453,0.3768,NA,-0.1319,NA,2.847,0.5091,-0.4846,NA,NA,3.73,1.1149,7.0229,-0.75,NA,2.2876,NA,-2.0304,4.44,0.0417,NA,2.1416,NA,0.1178,0.5397,1.7507,1.7295,3.5487,1.4298,NA,3.4113,2.1575,3.5465,NA,3.2402,NA,-0.7156,-1.65,3.2599
"6",0.4492,NA,1.4401,0.8038,0.38,1.8998,0.2487,0.1269,-1.0346,NA,NA,NA,-4.22,NA,-0.8318,-0.683,NA,4.1765,0.93,-0.2023,0.8,NA,-1.7783,0.4181,NA,-4.04,1.9038,NA,NA,2.97,NA,0.777,-5.43,38.7535,NA,1.8927,0.526,1.4048,2.83,NA,0.1982,0.2852,NA,1.7982,-3.1,-1.612,NA,3.1346,-0.97,-0.07,NA,-0.2,NA,-0.7907,-2.4104,2.168,0.9343,-0.33,-1.4347,0.5355,NA,-0.5472,NA,1.2375,-0.1616,0.1225,NA,NA,1.88,-2.0741,4.4496,2.78,NA,1.7714,NA,-2.17,1.16,0.5247,NA,-0.2956,NA,2.8081,2.9908,2.4787,1.4276,2.9431,1.5097,NA,1.4337,-0.1055,4.886,NA,2.6285,NA,0.2072,0.94,2.07
"7",2.1818,NA,-0.1201,4.6251,4.46,2.4602,1.0734,NA,-0.3852,NA,NA,NA,-0.85,NA,-0.3096,-0.801,NA,4.274,-0.62,1.0423,2.31,NA,1.3644,-0.0199,NA,-5.16,-0.5434,NA,NA,1.97,NA,2.1765,3.6735,42.1766,NA,0.2016,0.8123,2.5901,1.15,NA,1.6431,0.951,NA,3.3561,3.7,1.2871,NA,0.8105,0.2,-0.15,NA,0.8,NA,1.0748,-1.2871,NA,1.5364,4.79,1.7436,-0.9402,NA,0.351,NA,0.8678,0.8309,1.6217,NA,NA,0.97,-2.0388,3.8894,2.1401,NA,3.1074,NA,1.76,4.78,2.4051,NA,1.1652,0,-1.4405,0.6701,2.5829,1.3646,2.8291,3.4304,NA,2.5741,0.1069,-0.3482,NA,1.4765,NA,4.6031,-0.48,1.76
"8",-0.5089,NA,0.95,-0.8331,4.64,-0.3301,-0.6611,3.7508,1.1186,NA,NA,NA,-4.45,NA,-0.0141,0.92,NA,3.9956,-0.03,0.5253,0.9,NA,2.7462,-0.98,NA,2.79,-3.606,NA,NA,-0.24,NA,0.0764,-3.1608,-30.7418,NA,0.4374,0.0775,1.6991,-2.14,NA,-1.6137,1.1494,NA,-6.1925,1.3,-3.0251,NA,0.7694,0.59,-0.04,NA,-1.64,NA,4.4233,3.2831,3.0861,-0.141,1.36,-2.4186,-0.592,NA,0.5199,NA,1.156,-0.3396,-0.6377,NA,NA,2.89,-6.8851,1.6929,-0.6701,NA,2.6036,NA,-0.17,3.21,1.4216,NA,0.7974,0.04,-0.4644,-5.4734,1.5104,-0.2703,-0.4447,0.95,NA,-3.6074,0.7398,3.5409,NA,-0.5933,NA,1.5557,-3.51,-1.34
"9",4.5424,NA,10.99,-2.8877,0.25,1.1799,1.7126,-0.6763,0.3414,NA,NA,NA,0.26,NA,-1.3272,0.2713,NA,0.3502,0.31,3.4964,-0.28,NA,2.4071,1.63,NA,-1.43,-3.02,NA,NA,1.54,NA,0.2291,-0.3644,10.6702,0,-1.8119,0.6812,0.9583,1.31,NA,0.8195,0.9013,NA,-7.3155,-0.1,1.3537,NA,0.6384,0.18,-0.06,NA,-0.7299,NA,0.141,0.6352,NA,1.6013,7.3191,-0.6598,0.3097,NA,0.6301,NA,-0.4173,0.3886,0.2369,NA,NA,-1.59,-0.8973,0.0093,1.26,NA,-0.5104,NA,2.5101,-0.59,-1.946,NA,1.5483,2.2591,-0.491,1.1737,2.2351,0.7546,1.4986,1.4602,NA,6.1367,0.5678,-0.18,NA,2.8421,NA,5.8311,-1.16,-2.09
"10",-0.0559,NA,-0.69,-2.0524,-0.96,1.1399,-6.6936,NA,0.245,NA,NA,NA,-6,0,0.0372,3.9618,NA,3.1064,-0.48,-0.2938,-0.24,NA,-4.5254,-0.5,NA,0.81,-3.4803,NA,NA,0.7001,NA,1.7046,0.074,4.9461,0,0.931,1.4455,1.2012,1.45,NA,-1.8303,-1.5795,NA,-9.4918,0,-4.2779,NA,1.1629,2.89,0.23,NA,-2.53,NA,2.5674,-0.9786,2.7251,-1.4854,3.0309,0.4107,1.0171,NA,-2.7381,NA,0.4146,0.5479,0.3782,NA,NA,1.75,-0.9054,-8.6207,-0.86,NA,-2.0806,NA,1.54,2.9401,3.1678,NA,0.2863,-3.3627,0.8025,4.6404,-1.528,0.2374,0.4977,0.32,NA,-4.2926,1.0905,-2.5319,NA,-0.9719,NA,-0.2399,0.37,2.59
"11",1.3348,NA,-4.81,-7.6755,8.2901,1.08,1.2387,7.0103,1.0115,NA,NA,NA,5.32,0.83,2.6319,1.4098,NA,1.2174,1.94,-0.3038,1.43,NA,4.9199,4.5796,NA,7.3,-0.1822,NA,NA,-0.6797,NA,1.2079,1.3024,-6.2691,2.4312,3.9633,1.2582,0.7224,1.65,NA,3.1134,0.113,NA,12.7512,0.4,0.2361,NA,0.9515,-0.73,0.11,NA,-0.18,NA,0.177,-0.0031,2.0568,0.9529,4.63,1.4954,1.2557,NA,-0.49,NA,0.1245,1.1945,-0.154,NA,NA,1.12,2.7783,-1.7075,4.63,NA,-0.2271,NA,0.45,2.26,-2.8888,NA,1.6797,5.3207,2.1625,0.813,3.3478,1.1471,2.5455,3.6601,NA,1.2586,0.8484,2.7673,NA,0.2512,NA,1.1303,-0.63,1.56
"12",-0.8619,NA,4.6,-6.6468,-4.88,1.46,-4.4943,0.4321,-0.4167,NA,NA,NA,1.74,-1.32,-1.3965,0.9695,NA,1.0235,-2.02,1.1082,-0.68,NA,0.131,-1.61,NA,-3.52,2.2399,NA,NA,1.47,NA,3.0068,1.7153,-3.4722,-9.2064,1.5692,0.9506,0.327,0.4,NA,2.2985,-1.0145,NA,1.5275,-3.5,-3.4672,NA,-1.0274,0.4,0.43,NA,-0.05,NA,0.2891,-0.2929,-0.9402,-1.4297,-4.02,0.3998,0.0271,NA,-3.9297,NA,-0.9012,0.2032,-0.4509,NA,NA,-3.62,2.7032,-3.2219,-1.75,NA,-0.6389,NA,-1.65,-0.79,-9.5481,NA,0.7378,0.3169,1.6587,1.5396,-0.5653,-1.5451,-3.2047,-1.4101,NA,1.8644,0.6389,2.2877,NA,-0.2459,NA,2.5682,-0.79,-2.16
"13",1.1668,NA,2.76,1.8062,7.02,1.5001,4.9598,0.4934,1.9841,NA,NA,NA,4.66,-0.01,0.0989,5.3903,NA,2.3475,0.99,6.2112,0.82,NA,3.1399,6.3299,NA,-2.24,-2.2216,NA,NA,1.4599,NA,2.2454,-1.4865,-0.0078,-9.5044,-0.161,0.3337,1.25,0.96,NA,2.7507,1.0662,NA,-2.4095,1.8,0.1437,NA,3.0488,2.02,1.4,NA,-0.39,NA,1.2773,-0.516,-1.0077,-1.981,3.82,1.7162,0.3201,NA,-0.392,NA,1.7723,0.5576,-0.7245,NA,NA,1.48,2.632,4.0722,-0.09,NA,2.4095,NA,-0.14,-1.02,2.1378,NA,-0.6287,3.9732,0.0939,1.444,0.755,-0.502,-0.9194,2.3303,NA,1.9412,1.2122,2.7059,NA,1.6929,NA,1.4374,-1.33,-0.8001
"14",0.4636,NA,-1.2599,-2.9488,3.37,0.8199,3.8181,0.8406,0.6088,NA,NA,NA,3.7901,-0.32,-0.9658,3.289,NA,-0.2063,-0.37,2.2102,2.25,NA,1.9198,0.8698,NA,3.16,2.8076,NA,NA,3.15,NA,1.8623,2.5433,-0.2206,-1.0416,0.0049,-1.8031,0.3277,2.62,NA,4.336,1.2154,NA,-1.3102,-0.5,1.3606,NA,0.309,-0.33,-0.05,NA,7.89,NA,2.3638,1.4226,2.9293,3.4596,1.4,0.1408,2.5873,NA,0.6155,NA,1.366,0.6146,-0.7556,NA,NA,4.59,-0.3508,1.682,-3.49,NA,1.3496,NA,2.29,3.9499,6.4561,NA,-0.8349,1.8416,-1.3522,1.9929,1.9713,1.3064,2.7839,3.1303,NA,-0.0979,-0.3164,2.6988,NA,2.8767,NA,1.8589,1.14,3.1
"15",3.1899,NA,-0.41,3.7391,0.73,1.63,-0.4157,0.8102,0.171,NA,NA,NA,-3.95,4.34,0.3565,-0.5064,NA,5.6858,0.6,2.8692,1.9,NA,1.1733,0.9398,NA,2.86,0.87,NA,NA,1.9102,NA,0.1294,5.2455,-17.5026,0.841,-1.1551,0.1355,1.4021,1.42,NA,1.2462,1.1758,NA,12.7689,0.7,1.7586,NA,1.0097,1.45,0.83,NA,-1.83,NA,-0.3046,2.4832,0.394,1.0753,4.43,0.6106,2.8387,NA,0.1504,NA,-0.6631,1.0918,0.1191,NA,NA,1.17,-0.3521,-1.5556,1.54,NA,0.8901,NA,1.45,3.77,2.3535,NA,0.6841,0.1808,1.0598,3.0705,3.3484,0.7391,1.5547,1.28,NA,2.3309,-0.1312,0.2572,NA,1.8316,NA,0.3515,-0.9,1.4104
"16",-0.2342,NA,0.71,3.3645,0.32,1.3301,-1.909,1.9937,1.1753,NA,NA,NA,1.21,0.37,0.0796,1.7363,NA,1.5936,1.87,2.2493,2,NA,0.9438,1.9202,NA,-1.88,-0.74,NA,NA,4.68,NA,-0.9904,-2.5967,3.5726,2.2269,1.9165,1.3979,0.8493,0.02,NA,1.874,0.7349,NA,-4.7658,0.6,0.465,NA,-0.525,2.64,0.37,NA,-0.91,NA,1.6951,1.2265,3.7829,-1.9754,-0.55,0.3876,2.6882,NA,-0.3505,NA,0.1102,-0.1064,0.5264,NA,NA,0.48,-0.3533,-1.0423,-0.2899,NA,1.8069,NA,1.3,1.21,2.5615,NA,0.6729,1.5704,0.6825,-0.8802,-0.8584,0.6244,1.3674,2.5299,NA,0.2767,0.2471,0.735,NA,-0.4366,NA,-3.2869,1.93,-0.0196
"17",-3.4171,NA,-0.77,5.6009,-8.22,0.76,-2.3621,-2.2162,-0.2596,NA,NA,NA,-5.05,0.77,-0.2697,-0.4837,NA,-1.5337,1.37,4.1277,-2.67,NA,-0.9229,0.2101,NA,-1.85,-5.23,NA,NA,1.75,0.12,-1.8354,-0.7721,-3.5621,0.7799,1.3574,1.4527,1.7148,-0.49,NA,0.2656,0.4392,NA,16.0369,-1.2,1.7355,NA,1.6775,0.44,0.82,NA,0.09,NA,1.689,2.2481,3.1073,0.6085,-3.5,0.6238,2.2984,NA,0.0804,NA,1.6351,0.0058,1.473,NA,NA,0.76,1.3947,-0.9977,0.26,NA,-2.4889,NA,-4.21,0.4,2.8263,NA,0.8696,-1.3417,0.5577,0.6831,-1.8083,0.6154,1.2782,1.3102,NA,1.9531,0.6172,-1.8517,NA,0.6139,NA,1.7109,2.91,-3.5902
"18",-0.9901,NA,3.43,0.2793,3.82,0.74,4.5956,NA,1.49,NA,NA,NA,6.5,-2.17,-0.39,3.0941,NA,1.1017,1.07,-1.1216,3.6,NA,3.1153,1.66,NA,-4.12,-0.33,NA,NA,1.4399,4.5401,0.3545,-0.6983,0.5688,0.6027,0.646,1.578,9.1665,3.24,NA,4.8317,0.9863,NA,-6.7173,-1.1,-1.7174,NA,1.6698,0.5,0,NA,-1.58,NA,-0.2821,-0.4205,0.299,1.8929,-3.71,0.631,3.2601,NA,-0.4217,NA,0.3223,0.7484,-0.2377,NA,NA,0.23,1.3755,1.7779,-0.87,NA,2.716,NA,0.6,0.66,3.5288,NA,0.2766,3.0352,2.3457,1.9674,4.0143,0.6579,1.4212,3,NA,-1.1661,0.3622,4.3695,NA,2.5233,NA,1.4548,0.84,0.7899
"19",-2.0747,NA,-1.07,0.321,2.9,-0.1601,-1.3991,NA,-0.3462,NA,NA,NA,-1.46,-2.67,-1.4719,-0.9805,NA,3.7603,0.13,-3.2243,1.5,NA,0.8775,0.7097,NA,6.64,1.52,NA,NA,2.08,-0.84,2.0221,-9.0549,5.7134,-0.4971,2.0299,-3.4738,0.7152,0.54,NA,1.2181,-0.4786,NA,-6.9802,1.3,0.4123,NA,0.0177,0.39,0.55,NA,1.69,NA,-0.5916,-0.6565,-1.7036,-0.278,3.96,0.8338,-1.0521,NA,-0.6957,NA,-0.8222,-0.4288,-0.7878,NA,NA,-0.67,1.3568,-0.19,-0.58,NA,-1.3463,NA,3.8,4.02,0.1686,NA,0.9495,0.6818,-0.8912,0.2661,0.605,-0.817,-1.5966,-0.6002,NA,-1.8961,0.6366,0.5376,NA,0.3273,2.57,-1.165,-0.76,4.5897
"20",0.9658,NA,-1.56,-6.0827,2.6,0.1,0.9948,NA,-0.0643,NA,NA,NA,5.22,2.07,-0.644,-0.8473,NA,2.515,0.56,-1.6137,1.8,NA,2.5115,-1.9202,NA,8.89,-0.25,NA,NA,0.59,-2.1403,3.1245,0.6473,-0.7714,-3.8992,0.1209,-4.3738,1.5724,8.39,NA,2.9016,-1.1093,NA,-12.8688,-7.1,0.4101,NA,-1.1813,0.19,-0.59,NA,1.84,NA,0.8323,-2.166,-0.8043,0.0981,9.43,-1.7204,-0.8649,NA,1.6042,NA,-2.6264,0.0266,-2.162,NA,NA,-3.03,-1.2554,-0.0216,0.4899,NA,-2.5118,NA,-0.27,-0.4701,-3.5909,NA,-0.2606,0.3126,-0.1195,2.9861,-1.4244,-2.9345,-5.7002,-1.01,NA,2.2334,0.1363,0.3877,NA,0.3728,1.6379,2.7958,-3.69,0.6097
