Date,Last Price 
8/5/2013,14258.04
8/6/2013,14401.06
8/7/2013,13824.94
8/8/2013,13605.56
8/9/2013,13615.19
8/12/2013,13519.43
8/13/2013,13867
8/14/2013,14050.16
8/15/2013,13752.94
8/16/2013,13650.11
8/19/2013,13758.13
8/20/2013,13396.38
8/21/2013,13424.33
8/22/2013,13365.17
8/23/2013,13660.55
8/26/2013,13636.28
8/27/2013,13542.37
8/28/2013,13338.46
8/29/2013,13459.71
8/30/2013,13388.86
9/2/2013,13572.92
9/3/2013,13978.44
9/4/2013,14053.87
9/5/2013,14064.82
9/6/2013,13860.81
9/9/2013,14205.23
9/10/2013,14423.36
9/11/2013,14425.07
9/12/2013,14387.27
9/13/2013,14404.67
9/17/2013,14311.67
9/18/2013,14505.36
9/19/2013,14766.18
9/20/2013,14742.42
9/24/2013,14732.61
9/25/2013,14620.53
9/26/2013,14799.12
9/27/2013,14760.07
9/30/2013,14455.8
10/1/2013,14484.72
10/2/2013,14170.49
10/3/2013,14157.25
10/4/2013,14024.31
10/7/2013,13853.32
10/8/2013,13894.61
10/9/2013,14037.84
10/10/2013,14194.71
10/11/2013,14404.74
10/15/2013,14441.54
10/16/2013,14467.14
10/17/2013,14586.51
10/18/2013,14561.54
10/21/2013,14693.57
10/22/2013,14713.25
10/23/2013,14426.05
10/24/2013,14486.41
10/25/2013,14088.19
10/28/2013,14396.04
10/29/2013,14325.98
10/30/2013,14502.35
10/31/2013,14327.94
11/1/2013,14201.57
11/5/2013,14225.37
11/6/2013,14337.31
11/7/2013,14228.44
11/8/2013,14086.8
11/11/2013,14269.84
11/12/2013,14588.68
11/13/2013,14567.16
11/14/2013,14876.41
11/15/2013,15165.92
11/18/2013,15164.3
11/19/2013,15126.56
11/20/2013,15076.08
11/21/2013,15365.6
11/22/2013,15381.72
11/25/2013,15619.13
11/26/2013,15515.24
11/27/2013,15449.63
11/28/2013,15727.12
11/29/2013,15661.87
12/2/2013,15655.07
12/3/2013,15749.66
12/4/2013,15407.94
12/5/2013,15177.49
12/6/2013,15299.86
12/9/2013,15650.21
12/10/2013,15611.31
12/11/2013,15515.06
12/12/2013,15341.82
12/13/2013,15403.11
12/16/2013,15152.91
12/17/2013,15278.63
12/18/2013,15587.8
12/19/2013,15859.22
12/20/2013,15870.42
12/24/2013,15889.33
12/25/2013,16009.99
12/26/2013,16174.44
12/27/2013,16178.94
12/30/2013,16291.31
1/6/2014,15908.88
1/7/2014,15814.37
1/8/2014,16121.45
1/9/2014,15880.33
1/10/2014,15912.06
1/14/2014,15422.4
1/15/2014,15808.73
1/16/2014,15747.2
1/17/2014,15734.46
1/20/2014,15641.68
1/21/2014,15795.96
1/22/2014,15820.96
1/23/2014,15695.89
1/24/2014,15391.56
1/27/2014,15005.73
1/28/2014,14980.16
1/29/2014,15383.91
1/30/2014,15007.06
1/31/2014,14914.53
2/3/2014,14619.13
2/4/2014,14008.47
2/5/2014,14180.38
2/6/2014,14155.12
2/7/2014,14462.41
2/10/2014,14718.34
2/12/2014,14800.06
2/13/2014,14534.74
2/14/2014,14313.03
2/17/2014,14393.11
2/18/2014,14843.24
2/19/2014,14766.53
2/20/2014,14449.18
2/21/2014,14865.67
2/24/2014,14837.68
2/25/2014,15051.6
2/26/2014,14970.97
2/27/2014,14923.11
2/28/2014,14841.07
3/3/2014,14652.23
3/4/2014,14721.48
3/5/2014,14897.63
3/6/2014,15134.75
3/7/2014,15274.07
3/10/2014,15120.14
3/11/2014,15224.11
3/12/2014,14830.39
3/13/2014,14815.98
3/14/2014,14327.66
3/17/2014,14277.67
3/18/2014,14411.27
3/19/2014,14462.52
3/20/2014,14224.23
3/24/2014,14475.3
3/25/2014,14423.19
3/26/2014,14477.16
3/27/2014,14622.89
3/28/2014,14696.03
3/31/2014,14827.83
4/1/2014,14791.99
4/2/2014,14946.32
4/3/2014,15071.88
4/4/2014,15063.77
4/7/2014,14808.85
4/8/2014,14606.88
4/9/2014,14299.69
4/10/2014,14300.12
4/11/2014,13960.05
4/14/2014,13910.16
4/15/2014,13996.81
4/16/2014,14417.68
4/17/2014,14417.53
4/18/2014,14516.27
4/21/2014,14512.38
4/22/2014,14388.77
4/23/2014,14546.27
4/24/2014,14404.99
4/25/2014,14429.26
4/28/2014,14288.23
4/30/2014,14304.11
5/1/2014,14485.13
5/2/2014,14457.51
5/7/2014,14033.45
5/8/2014,14163.78
5/9/2014,14199.59
5/12/2014,14149.52
5/13/2014,14425.44
5/14/2014,14405.76
5/15/2014,14298.21
5/16/2014,14096.59
5/19/2014,14006.44
5/20/2014,14075.25
5/21/2014,14042.17
5/22/2014,14337.79
5/23/2014,14462.17
5/26/2014,14602.52
5/27/2014,14636.52
5/28/2014,14670.95
5/29/2014,14681.72
5/30/2014,14632.38
6/2/2014,14935.92
6/3/2014,15034.25
6/4/2014,15067.96
6/5/2014,15079.37
6/6/2014,15077.24
6/9/2014,15124
6/10/2014,14994.8
6/11/2014,15069.48
6/12/2014,14973.53
6/13/2014,15097.84
6/16/2014,14933.29
6/17/2014,14975.97
6/18/2014,15115.8
6/19/2014,15361.16
6/20/2014,15349.42
6/23/2014,15369.28
6/24/2014,15376.24
6/25/2014,15266.61
6/26/2014,15308.49
6/27/2014,15095
6/30/2014,15162.1
7/1/2014,15326.2
7/2/2014,15369.97
7/3/2014,15348.29
7/4/2014,15437.13
7/7/2014,15379.44
7/8/2014,15314.41
7/9/2014,15302.65
7/10/2014,15216.47
7/11/2014,15164.04
7/14/2014,15296.82
7/15/2014,15395.16
7/16/2014,15379.3
7/17/2014,15370.26
7/18/2014,15215.71
7/22/2014,15343.28
7/23/2014,15328.56
7/24/2014,15284.42
7/25/2014,15457.87
7/28/2014,15529.4
7/29/2014,15618.07
7/30/2014,15646.23
7/31/2014,15620.77
8/1/2014,15523.11
8/4/2014,15474.5
8/5/2014,15320.31
8/6/2014,15159.79
8/7/2014,15232.37
8/8/2014,14778.37
8/11/2014,15130.52
8/12/2014,15161.31
8/13/2014,15213.63
8/14/2014,15314.57
8/15/2014,15318.34
8/18/2014,15322.6
8/19/2014,15449.79
8/20/2014,15454.45
8/21/2014,15586.2
8/22/2014,15539.19
8/25/2014,15613.25
8/26/2014,15521.22
8/27/2014,15534.82
8/28/2014,15459.86
8/29/2014,15424.59
9/1/2014,15476.6
9/2/2014,15668.6
9/3/2014,15728.35
9/4/2014,15676.18
9/5/2014,15668.68
9/8/2014,15705.11
9/9/2014,15749.15
9/10/2014,15788.78
9/11/2014,15909.2
9/12/2014,15948.29
9/16/2014,15911.53
9/17/2014,15888.67
9/18/2014,16067.57
9/19/2014,16321.17
9/22/2014,16205.9
9/24/2014,16167.45
9/25/2014,16374.14
9/26/2014,16229.86
9/29/2014,16310.64
9/30/2014,16173.52
10/1/2014,16082.25
10/2/2014,15661.99
10/3/2014,15708.65
10/6/2014,15890.95
10/7/2014,15783.83
10/8/2014,15595.98
10/9/2014,15478.93
10/10/2014,15300.55
10/14/2014,14936.51
10/15/2014,15073.52
10/16/2014,14738.38
10/17/2014,14532.51
10/20/2014,15111.23
10/21/2014,14804.28
10/22/2014,15195.77
10/23/2014,15138.96
10/24/2014,15291.64
10/27/2014,15388.72
10/28/2014,15329.91
10/29/2014,15553.91
10/30/2014,15658.2
10/31/2014,16413.76
11/4/2014,16862.47
11/5/2014,16937.32
11/6/2014,16792.48
11/7/2014,16880.38
11/10/2014,16780.53
11/11/2014,17124.11
11/12/2014,17197.05
11/13/2014,17392.79
11/14/2014,17490.83
11/17/2014,16973.8
11/18/2014,17344.06
11/19/2014,17288.75
11/20/2014,17300.86
11/21/2014,17357.51
11/25/2014,17407.62
11/26/2014,17383.58
11/27/2014,17248.5
11/28/2014,17459.85
12/1/2014,17590.1
12/2/2014,17663.22
12/3/2014,17720.43
12/4/2014,17887.21
12/5/2014,17920.45
12/8/2014,17935.64
12/9/2014,17813.38
12/10/2014,17412.58
12/11/2014,17257.4
12/12/2014,17371.58
12/15/2014,17099.4
12/16/2014,16755.32
12/17/2014,16819.73
12/18/2014,17210.05
12/19/2014,17621.4
12/22/2014,17635.14
12/24/2014,17854.23
12/25/2014,17808.75
12/26/2014,17818.96
12/29/2014,17729.84
12/30/2014,17450.77
1/5/2015,17408.71
1/6/2015,16883.19
1/7/2015,16885.33
1/8/2015,17167.1
1/9/2015,17197.73
1/13/2015,17087.71
1/14/2015,16795.96
1/15/2015,17108.7
1/16/2015,16864.16
1/19/2015,17014.29
1/20/2015,17366.3
1/21/2015,17280.48
1/22/2015,17329.02
1/23/2015,17511.75
1/26/2015,17468.52
1/27/2015,17768.3
1/28/2015,17795.73
1/29/2015,17606.22
1/30/2015,17674.39
2/2/2015,17558.04
2/3/2015,17335.85
2/4/2015,17678.74
2/5/2015,17504.62
2/6/2015,17648.5
2/9/2015,17711.93
2/10/2015,17652.68
2/12/2015,17979.72
2/13/2015,17913.36
2/16/2015,18004.77
2/17/2015,17987.09
2/18/2015,18199.17
2/19/2015,18264.79
2/20/2015,18332.3
2/23/2015,18466.92
2/24/2015,18603.48
2/25/2015,18585.2
2/26/2015,18785.79
2/27/2015,18797.94
3/2/2015,18826.88
3/3/2015,18815.16
3/4/2015,18703.6
3/5/2015,18751.84
3/6/2015,18971
3/9/2015,18790.55
3/10/2015,18665.11
3/11/2015,18723.52
3/12/2015,18991.11
3/13/2015,19254.25
3/16/2015,19246.06
3/17/2015,19437
3/18/2015,19544.48
3/19/2015,19476.56
3/20/2015,19560.22
3/23/2015,19754.36
3/24/2015,19713.45
3/25/2015,19746.2
3/26/2015,19471.12
3/27/2015,19285.63
3/30/2015,19411.4
3/31/2015,19206.99
4/1/2015,19034.84
4/2/2015,19312.79
4/3/2015,19435.08
4/6/2015,19397.98
4/7/2015,19640.54
4/8/2015,19789.81
4/9/2015,19937.72
4/10/2015,19907.63
4/13/2015,19905.46
4/14/2015,19908.68
4/15/2015,19869.76
4/16/2015,19885.77
4/17/2015,19652.88
4/20/2015,19634.49
4/21/2015,19909.09
4/22/2015,20133.9
4/23/2015,20187.65
4/24/2015,20020.04
4/27/2015,19983.32
4/28/2015,20058.95
4/30/2015,19520.01
5/1/2015,19531.63
5/7/2015,19291.99
5/8/2015,19379.19
5/11/2015,19620.91
5/12/2015,19624.84
5/13/2015,19764.72
5/14/2015,19570.24
5/15/2015,19732.92
5/18/2015,19890.27
5/19/2015,20026.38
5/20/2015,20196.56
5/21/2015,20202.87
5/22/2015,20264.41
5/25/2015,20413.77
5/26/2015,20437.48
5/27/2015,20472.58
5/28/2015,20551.46
5/29/2015,20563.15
6/1/2015,20569.87
6/2/2015,20543.19
6/3/2015,20473.51
6/4/2015,20488.19
6/5/2015,20460.9
6/8/2015,20457.19
6/9/2015,20096.3
6/10/2015,20046.36
6/11/2015,20382.97
6/12/2015,20407.08
6/15/2015,20387.79
6/16/2015,20257.94
6/17/2015,20219.27
6/18/2015,19990.82
6/19/2015,20174.24
6/22/2015,20428.19
6/23/2015,20809.42
6/24/2015,20868.03
6/25/2015,20771.4
6/26/2015,20706.15
6/29/2015,20109.95
6/30/2015,20235.73
7/1/2015,20329.32
7/2/2015,20522.5
7/3/2015,20539.79
7/6/2015,20112.12
7/7/2015,20376.59
7/8/2015,19737.64
7/9/2015,19855.5
7/10/2015,19779.83
7/13/2015,20089.77
7/14/2015,20385.33
7/15/2015,20463.33
7/16/2015,20600.12
7/17/2015,20650.92
7/21/2015,20841.97
7/22/2015,20593.67
7/23/2015,20683.95
7/24/2015,20544.53
7/27/2015,20350.1
7/28/2015,20328.89
7/29/2015,20302.91
7/30/2015,20522.83
7/31/2015,20585.24
8/3/2015,20548.11
8/4/2015,20520.36
8/5/2015,20614.06
8/6/2015,20664.44
