"","time","event","date","broker","name","is_forced","newtp_to_px","oldtp_to_px","chg_tgt","newtp_avgtp","chg_2d","chg_5d","char_newrating","newrating","oldrating","chg_rating","score"
"1","A","TP+ ","05/29/2018","Independent Research GmbH","APPLE INC","Forced","16.6613638773995","11.358574610245","4.76190476190476","11.7585567702978","0.5543655","0.9102485","","5","5","","1.5"
"2","A","TP+ ","05/29/2018","SMBC Nikko","NIDEC CORP","","10.9165207238762","6.24635143023935","4.3956043956044","2.91130670277591","0.7314018","0.522802","","5","5","","1.5"
"3","A","TP+ ","05/29/2018","Stifel","ASML HOLDING NV","Forced","20.0585651537335","4.24597364568082","15.1685393258427","15.1454320794868","0.6065187","2.2633707","","5","5","","1.5"
"4","A","TP+ ","05/29/2018","SMBC Nikko","SOFTBANK GROUP C","","49.408860595037","45.5112381447317","2.67857142857143","-12.3783837115463","-1.8778058","-6.263374","","5","5","","1.5"
"5","B/D","TP- ","05/29/2018","Day by Day","TOTAL SA","","8.19836032793442","9.57808438312338","-1.25912408759124","-4.5948226629178","-0.0582260000000001","-3.901036","","5","5","","-0.5"
"6","B/D","TP- ","05/29/2018","Day by Day","ASML HOLDING NV","","9.63396778916543","10.5124450951684","-0.794912559618442","5.14743846478014","0.6065187","2.2633707","","5","5","","-0.5"
"7","B/D","TP- ","05/29/2018","Barclays","DEUTSCHE TELEKOM","","21.6730038022814","23.9543726235741","-1.84049079754602","-0.955460225601634","0.275531","0.803608","","3","3","","-0.5"
"8","A","TP+ ","05/29/2018","Jefferies","TOYOTA MOTOR","","8.94495412844036","-2.52293577981652","11.7647058823529","-5.29595015576324","-1.3976558","-4.683226","","3","3","","1.5"
"9","A","TP- ","05/29/2018","Jefferies","HONDA MOTOR CO","","18.8118811881188","25.8840169731259","-5.61797752808989","0.255756145030039","1.6137102","-1.641276","","5","5","","0.5"
"10","A"," Downgrade","05/29/2018","CICC","NEW ORIENTAL-ADR","","19.1895113230036","19.1895113230036","0","7.73201956029206","-0.2039006","6.7526745"," hold","3","5","-2","0"
"11","A","TP+ ","05/29/2018","J.P. Morgan","TAL EDUCATIO-ADR","","51.2683267395858","39.6323016057715","8.33333333333333","60.0129217165599","-1.3003691","3.3089225","","5","5","","1.5"
"12","A"," Downgrade","05/28/2018","CICC","TAL EDUCATIO-ADR","","4.7242262043286","4.7242262043286","0","10.778176573003","-1.3003691","3.3089225"," hold","3","5","-2","0"
"13","B/D","TP+ ","05/28/2018","SWS Research","HUANENG RENEWA-H","Forced","23.0529595015576","11.214953271028","10.6442577030812","3.41875708731345","4.5590158","-1.203139","","5","5","","0.5"
"14","B/D","TP- ","05/28/2018","KIWOOM Securities Co Ltd","SAMSUNG ELECTRON","","32.5536062378168","32.5536062378168","0","-1.62748643761302","-2.512284","2.9374501","","5","5","","0"
"15","B/D","TP+ ","05/28/2018","KIWOOM Securities Co Ltd","SK HYNIX INC","","42.4050632911392","26.5822784810127","12.5","17.5048338143007","-0.2759061","6.7347561","","5","5","","0.5"
"16","B/D","TP+ ","05/28/2018","Macquarie","FORTESCUE METALS","","19.8257080610022","17.6470588235294","1.85185185185185","11.8447770815453","1.4206749","-0.3953162","","5","5","","0.5"
"17","A","TP- ","05/28/2018","RBC Capital Markets","FREEPORT-MCMORAN","","22.9508196721311","34.6604215456675","-8.69565217391304","11.0691361501931","-1.1186281","0.9366625","","3","3","","0.5"
"18","B/D","TP- ","05/28/2018","Credit Suisse","LG DISPLAY CO LT","","3.67170626349893","12.3110151187905","-7.69230769230769","-14.9863769266607","5.132924","3.2263391","","3","3","","-0.5"
"19","B/D","TP+ ","05/28/2018","BMO Capital Markets","RIO TINTO PLC","","8.87573964497042","4.14201183431953","4.54545454545455","10.5489085161079","0.7264056","-0.949022","","5","5","","0.5"
"20","B/D","TP+ ","05/28/2018","Clarksons Platou Securities AS","AP MOLLER-B","","69.3995540454449","68.6462093862816","0.446701210720822","37.4183238594545","0.985422","2.1065255","","5","5","","0.5"
"21","B/D","TP+ ","05/28/2018","DBS Vickers","PETROCHINA-H","Forced","18.9358372456964","11.1111111111111","7.04225352112676","4.78285260060864","5.9580718","1.6240675","","5","5","","0.5"
"22","B/D","TP+ ","05/28/2018","BOCOM International Holdings","TENCENT","","35.5721393034826","32.5870646766169","2.25140712945591","4.49335419000061","-0.1568127","0.929877","","5","5","","0.5"
"23","B/D","TP- ","05/28/2018","Iwai Cosmo Securities Co. Ltd","KUBOTA CORP","","15.0963597430407","23.1263383297645","-6.52173913043478","2.87081339712918","-1.2316288","-1.247656","","3","3","","-0.5"
"24","B/D","TP+ ","05/28/2018","Nomura","HITACHI CONST MA","","32.8358208955224","16.9154228855721","13.6170212765957","6.16302186878728","-0.4292585","-3.87454","","5","5","","0.5"
"25","B/D","TP+ Upgrade","05/28/2018","China Securities","HUADIAN POWER-H","","0.222841225626746","-1.36490250696378","1.60971476983903","0.00185405358195112","-1.0353892","7.679057"," buy","3.75","3.625","0.125","0.5625"
"26","B/D","TP+ ","05/28/2018","China Securities","DATANG INTL PO-H","","13.6363636363636","9.54545454545455","3.7344398340249","4.57165751682505","-0.0391217","3.1638238","","3.571","3.571","","0.5"
"27","B/D","TP+ ","05/28/2018","China Securities","HUANENG POWER-H","","14.0939597315436","-2.70134228187919","17.2615968270391","16.2666402292748","2.0447218","10.764101","","3.706","3.706","","0.5"
"28","B/D","TP+ ","05/28/2018","China Securities","CHINA RES POWER","","11.5241635687732","4.90086741016109","6.31386214635874","5.53471070387608","0.9616782","5.72953","","4.529","4.529","","0.5"
"29","B/D","TP+ ","05/28/2018","First Shanghai Securities Ltd","CTRIP.COM-ADR","","32.5591397849462","26.1505376344086","5.0801227412206","17.5222251039721","3.3819999","7.6055185","","5","5","","0.5"
"30","B/D","TP- ","05/28/2018","Argonaut Securities Pty Ltd","FORTESCUE METALS","","6.31808278867103","14.5969498910675","-7.22433460076045","-0.76317960764708","1.4206749","-0.3953162","","3","3","","-0.5"
